quarter,total_revenue,subscription_revenue,sales_marketing_expense,derivation,source_accession
2023-Q1,501620000,489743000,250683000,direct from filing,0000950170-24-057772 (prior-year column)
2023-Q2,529138000,517678000,265294000,direct from filing,0000950170-24-092843 (prior-year column)
2023-Q3,557557000,545832000,271448000,direct from filing,0000950170-24-122373 (prior-year column)
2023-Q4,581915000,570226000,281137000,derived: FY2023 minus Q1-Q3 2023,0000950170-25-018873 (FY2023 column)
2024-Q1,617414000,603798000,300282000,direct from filing,0000950170-24-057772
2024-Q2,637230000,623763000,293794000,direct from filing,0000950170-24-092843
2024-Q3,669721000,654738000,309928000,direct from filing,0000950170-24-122373
2024-Q4,703178000,687305000,314834000,derived: FY2024 minus 9mo-2024,0000950170-25-018873
2025-Q1,714137000,698728000,326697000,direct from filing,0000950170-25-067055
2025-Q2,760866000,744532000,339879000,direct from filing,0000950170-25-104104
2025-Q3,809518000,791678000,355268000,direct from filing,0001193125-25-267056
2025-Q4,846746000,828980000,357531000,direct from press release (cross-checked against FY2025 minus 9mo-2025),0001193125-26-046646
2026-Q1,880995000,862264000,386431000,direct from filing,0001193125-26-212122
