quarter,year,total_revenue,subscription_revenue,sales_marketing_expense,qoq_growth_pct,yoy_growth_pct,customers,net_revenue_retention,avg_subscription_revenue_per_customer,derivation,source_accession
2023-Q1,2023,501620000,489743000,250683000,NULL,NULL,205091,103.90,11384.00,direct from filing,0000950170-24-057772 (prior-year column)
2023-Q2,2023,529138000,517678000,265294000,5.49,NULL,205091,103.90,11384.00,direct from filing,0000950170-24-092843 (prior-year column)
2023-Q3,2023,557557000,545832000,271448000,5.37,NULL,205091,103.90,11384.00,direct from filing,0000950170-24-122373 (prior-year column)
2023-Q4,2023,581915000,570226000,281137000,4.37,NULL,205091,103.90,11384.00,derived: FY2023 minus Q1-Q3 2023,0000950170-25-018873 (FY2023 column)
2024-Q1,2024,617414000,603798000,300282000,6.10,23.08,247939,102.20,11343.00,direct from filing,0000950170-24-057772
2024-Q2,2024,637230000,623763000,293794000,3.21,20.43,247939,102.20,11343.00,direct from filing,0000950170-24-092843
2024-Q3,2024,669721000,654738000,309928000,5.10,20.12,247939,102.20,11343.00,direct from filing,0000950170-24-122373
2024-Q4,2024,703178000,687305000,314834000,5.00,20.84,247939,102.20,11343.00,derived: FY2024 minus 9mo-2024,0000950170-25-018873
2025-Q1,2025,714137000,698728000,326697000,1.56,15.67,288706,103.50,11414.00,direct from filing,0000950170-25-067055
2025-Q2,2025,760866000,744532000,339879000,6.54,19.40,288706,103.50,11414.00,direct from filing,0000950170-25-104104
2025-Q3,2025,809518000,791678000,355268000,6.39,20.87,288706,103.50,11414.00,direct from filing,0001193125-25-267056
2025-Q4,2025,846746000,828980000,357531000,4.60,20.42,288706,103.50,11414.00,direct from press release (cross-checked against FY2025 minus 9mo-2025),0001193125-26-046646
2026-Q1,2026,880995000,862264000,386431000,4.04,23.36,NULL,NULL,NULL,direct from filing,0001193125-26-212122
